domain,split,row_kind,control,control_value,score_mode,ablation,eta,confidence_weight,weight_boundary,weight_calibration_gap,weight_evidence,weight_grid_label,expected_events,expected_candidates_per_event,expected_candidate_key_count,tie_break_seed,candidate_key_count,score_key_count,score_coverage_rate,missing_score_keys,extra_score_keys,duplicate_score_keys,invalid_scores,blank_score_keys,audit_ok,score_degeneracy_event_count,constant_score_event_count,constant_score_event_rate,max_constant_event_rate,mean_unique_scores_per_event,min_unique_scores_per_event,tie_pair_count,total_score_pair_count,tie_pair_rate,max_tie_pair_rate,degeneracy_audit_ok,sample_count,parse_success_rate,avg_latency,avg_confidence,avg_candidates,MRR,out_of_candidate_rate,HR@5,NDCG@5,coverage@5,head_exposure_ratio@5,longtail_coverage@5,HR@10,NDCG@10,coverage@10,head_exposure_ratio@10,longtail_coverage@10,HR@20,NDCG@20,coverage@20,head_exposure_ratio@20,longtail_coverage@20,metric_name,metric_value,candidate_rows_for_value
sports,test,main_control,eta,0,full,full,0.0,0.7,0.5,0.3,0.2,"0.5,0.3,0.2",10000,101,1010000,20260607,1010000,1010000,1.0,0,0,0,0,0,True,10000,2,0.0002,0.02,7.105,1,19959779,50500000,0.3952431485148515,0.7,True,10000,1.0,0.0,-1.0,101.0,0.2028865825821798,0.0,0.2676,0.1923444560926754,0.1223328530009201,0.7433,0.0542166017204617,0.3805,0.2286769117070504,0.2075209639056233,0.74127,0.1062127784721711,0.5191,0.2635572779270699,0.3468376187086581,0.736205,0.2085434894493052,NDCG@10,0.2286769117070504,1
sports,test,main_control,eta,0.25,full,full,0.25,0.7,0.5,0.3,0.2,"0.5,0.3,0.2",10000,101,1010000,20260607,1010000,1010000,1.0,0,0,0,0,0,True,10000,2,0.0002,0.02,8.9111,1,19677246,50500000,0.3896484356435644,0.7,True,10000,1.0,0.0,-1.0,101.0,0.2025303644834656,0.0,0.2672,0.1920189903850581,0.1222937898227399,0.7433,0.0542754209249319,0.3793,0.2280957895657901,0.207742321915311,0.74138,0.1062127784721711,0.5183,0.2630918465808869,0.3475364155627702,0.73614,0.2086611278582457,NDCG@10,0.2280957895657901,1
sports,test,main_control,eta,0.5,full,full,0.5,0.7,0.5,0.3,0.2,"0.5,0.3,0.2",10000,101,1010000,20260607,1010000,1010000,1.0,0,0,0,0,0,True,10000,2,0.0002,0.02,8.9111,1,19677246,50500000,0.3896484356435644,0.7,True,10000,1.0,0.0,-1.0,101.0,0.2025303644834656,0.0,0.2672,0.1920189903850581,0.1222937898227399,0.7433,0.0542754209249319,0.3793,0.2280957895657901,0.207742321915311,0.74138,0.1062127784721711,0.5183,0.2630918465808869,0.3475364155627702,0.73614,0.2086611278582457,NDCG@10,0.2280957895657901,1
sports,test,main_control,eta,1,full,full,1.0,0.7,0.5,0.3,0.2,"0.5,0.3,0.2",10000,101,1010000,20260607,1010000,1010000,1.0,0,0,0,0,0,True,10000,2,0.0002,0.02,8.9111,1,19677246,50500000,0.3896484356435644,0.7,True,10000,1.0,0.0,-1.0,101.0,0.2025303644834656,0.0,0.2672,0.1920189903850581,0.1222937898227399,0.7433,0.0542754209249319,0.3793,0.2280957895657901,0.207742321915311,0.74138,0.1062127784721711,0.5183,0.2630918465808869,0.3475364155627702,0.73614,0.2086611278582457,NDCG@10,0.2280957895657901,1
sports,test,main_control,eta,2,full,full,2.0,0.7,0.5,0.3,0.2,"0.5,0.3,0.2",10000,101,1010000,20260607,1010000,1010000,1.0,0,0,0,0,0,True,10000,2,0.0002,0.02,8.9111,1,19677246,50500000,0.3896484356435644,0.7,True,10000,1.0,0.0,-1.0,101.0,0.202013012569196,0.0,0.2645,0.1907990944107345,0.1230837340926057,0.74368,0.0543048305271671,0.3783,0.2274412911631888,0.2089966839702078,0.74216,0.1065068744945224,0.5163,0.2622146650543268,0.3489209882116009,0.735905,0.2090434526873024,NDCG@10,0.2274412911631888,1
sports,test,main_control,eta,4,full,full,4.0,0.7,0.5,0.3,0.2,"0.5,0.3,0.2",10000,101,1010000,20260607,1010000,1010000,1.0,0,0,0,0,0,True,10000,2,0.0002,0.02,8.9111,1,19677246,50500000,0.3896484356435644,0.7,True,10000,1.0,0.0,-1.0,101.0,0.1774893200710539,0.0,0.2195,0.1629483517479593,0.1319206930675879,0.73834,0.0558047202411587,0.3113,0.1925045227438403,0.2253164117432594,0.73294,0.1116829644879053,0.4368,0.2239906124173353,0.3698935745412247,0.72792,0.2200132343210058,NDCG@10,0.1925045227438403,1
sports,test,main_control,weight_grid_label,"0.33,0.33,0.34",full,full,1.0,0.7,0.33,0.33,0.34,"0.33,0.33,0.34",10000,101,1010000,20260607,1010000,1010000,1.0,0,0,0,0,0,True,10000,2,0.0002,0.02,8.9111,1,19677246,50500000,0.3896484356435644,0.7,True,10000,1.0,0.0,-1.0,101.0,0.2021143363449374,0.0,0.2671,0.1916737856578464,0.1222894494696088,0.74324,0.0543342401294022,0.3792,0.2277473637669382,0.2077249605027865,0.74141,0.1061980736710536,0.5183,0.2627713150766001,0.3475364155627702,0.73614,0.2086611278582457,NDCG@10,0.2277473637669382,1
sports,test,main_control,weight_grid_label,"0.4,0.2,0.4",full,full,1.0,0.7,0.4,0.2,0.4,"0.4,0.2,0.4",10000,101,1010000,20260607,1010000,1010000,1.0,0,0,0,0,0,True,10000,2,0.0002,0.02,8.9111,1,19677246,50500000,0.3896484356435644,0.7,True,10000,1.0,0.0,-1.0,101.0,0.2021079474560485,0.0,0.2671,0.1916694032827626,0.1222894494696088,0.74324,0.0543048305271671,0.3792,0.2277415379037421,0.2077336412090487,0.74138,0.1061980736710536,0.5183,0.262765489213404,0.3475407559159013,0.736145,0.2086611278582457,NDCG@10,0.2277415379037421,1
sports,test,main_control,weight_grid_label,"0.4,0.4,0.2",full,full,1.0,0.7,0.4,0.4,0.2,"0.4,0.4,0.2",10000,101,1010000,20260607,1010000,1010000,1.0,0,0,0,0,0,True,10000,2,0.0002,0.02,8.783,1,19681878,50500000,0.3897401584158416,0.7,True,10000,1.0,0.0,-1.0,101.0,0.2025303644834656,0.0,0.2672,0.1920189903850581,0.1222981301758711,0.74332,0.0542607161238144,0.3793,0.2280957895657901,0.207742321915311,0.74138,0.1062127784721711,0.5183,0.2630918465808869,0.3475364155627702,0.73614,0.2086611278582457,NDCG@10,0.2280957895657901,1
sports,test,main_control,weight_grid_label,"0.5,0.3,0.2",full,full,1.0,0.7,0.5,0.3,0.2,"0.5,0.3,0.2",10000,101,1010000,20260607,1010000,1010000,1.0,0,0,0,0,0,True,10000,2,0.0002,0.02,8.9111,1,19677246,50500000,0.3896484356435644,0.7,True,10000,1.0,0.0,-1.0,101.0,0.2025303644834656,0.0,0.2672,0.1920189903850581,0.1222937898227399,0.7433,0.0542754209249319,0.3793,0.2280957895657901,0.207742321915311,0.74138,0.1062127784721711,0.5183,0.2630918465808869,0.3475364155627702,0.73614,0.2086611278582457,NDCG@10,0.2280957895657901,1
sports,test,main_control,weight_grid_label,"0.7,0.2,0.1",full,full,1.0,0.7,0.7,0.2,0.1,"0.7,0.2,0.1",10000,101,1010000,20260607,1010000,1010000,1.0,0,0,0,0,0,True,10000,2,0.0002,0.02,8.783,1,19681878,50500000,0.3897401584158416,0.7,True,10000,1.0,0.0,-1.0,101.0,0.2024256370789534,0.0,0.2671,0.1919102256348903,0.1223198319415267,0.74338,0.0542607161238144,0.3792,0.2279813684385512,0.2077553429747044,0.74137,0.1062421880744062,0.5184,0.2630312444414403,0.3475798190940815,0.73614,0.2086464230571281,NDCG@10,0.2279813684385512,1
sports,valid,main_control,eta,0,full,full,0.0,0.7,0.5,0.3,0.2,"0.5,0.3,0.2",10000,101,1010000,20260607,1010000,1010000,1.0,0,0,0,0,0,True,10000,43,0.0043,0.02,5.8838,1,27333376,50500000,0.5412549702970297,0.7,True,10000,1.0,0.0,-1.0,101.0,0.2009985268602829,0.0,0.268,0.1930978968619686,0.1251861985104119,0.7406,0.0566970968972906,0.3647,0.2242728911735334,0.2141619438473063,0.73604,0.1105468635336249,0.4936,0.2568014359656824,0.3637374329576792,0.72851,0.2184078433674817,NDCG@10,0.2242728911735334,1
sports,valid,main_control,eta,0.25,full,full,0.25,0.7,0.5,0.3,0.2,"0.5,0.3,0.2",10000,101,1010000,20260607,1010000,1010000,1.0,0,0,0,0,0,True,10000,43,0.0043,0.02,7.0156,1,27169189,50500000,0.5380037425742574,0.7,True,10000,1.0,0.0,-1.0,101.0,0.2010473316483882,0.0,0.2672,0.1929134105962359,0.1252339695568149,0.74068,0.0567558047377227,0.3642,0.2241861227680751,0.2145571406857316,0.73591,0.110605571374057,0.4923,0.2564896625977996,0.3640370877032984,0.72855,0.2188187982505063,NDCG@10,0.2241861227680751,1
sports,valid,main_control,eta,0.5,full,full,0.5,0.7,0.5,0.3,0.2,"0.5,0.3,0.2",10000,101,1010000,20260607,1010000,1010000,1.0,0,0,0,0,0,True,10000,43,0.0043,0.02,7.0156,1,27169189,50500000,0.5380037425742574,0.7,True,10000,1.0,0.0,-1.0,101.0,0.2010473316483882,0.0,0.2672,0.1929134105962359,0.1252339695568149,0.74068,0.0567558047377227,0.3642,0.2241861227680751,0.2145571406857316,0.73591,0.110605571374057,0.4923,0.2564896625977996,0.3640370877032984,0.72855,0.2188187982505063,NDCG@10,0.2241861227680751,1
sports,valid,main_control,eta,1,full,full,1.0,0.7,0.5,0.3,0.2,"0.5,0.3,0.2",10000,101,1010000,20260607,1010000,1010000,1.0,0,0,0,0,0,True,10000,43,0.0043,0.02,7.0156,1,27169189,50500000,0.5380037425742574,0.7,True,10000,1.0,0.0,-1.0,101.0,0.2009973316483882,0.0,0.2672,0.192876503571593,0.1252339695568149,0.74068,0.0567558047377227,0.3642,0.2241492157434322,0.2145571406857316,0.73591,0.110605571374057,0.4923,0.2564527555731568,0.3640370877032984,0.72855,0.2188187982505063,NDCG@10,0.2241492157434322,1
sports,valid,main_control,eta,2,full,full,2.0,0.7,0.5,0.3,0.2,"0.5,0.3,0.2",10000,101,1010000,20260607,1010000,1010000,1.0,0,0,0,0,0,True,10000,43,0.0043,0.02,7.0156,1,27169189,50500000,0.5380037425742574,0.7,True,10000,1.0,0.0,-1.0,101.0,0.2002002150019089,0.0,0.2668,0.1922515049115747,0.1256899659088441,0.74104,0.0567851586579387,0.3643,0.2235868475052383,0.2150652509065641,0.73606,0.1107083100948131,0.4905,0.2553980138421706,0.3646233687273359,0.72859,0.2185546129685619,NDCG@10,0.2235868475052383,1
sports,valid,main_control,eta,4,full,full,4.0,0.7,0.5,0.3,0.2,"0.5,0.3,0.2",10000,101,1010000,20260607,1010000,1010000,1.0,0,0,0,0,0,True,10000,43,0.0043,0.02,7.0156,1,27169189,50500000,0.5380037425742574,0.7,True,10000,1.0,0.0,-1.0,101.0,0.1785862213607811,0.0,0.2292,0.1670791076447089,0.1331509347925216,0.7342,0.058913317873602,0.3141,0.1944557028579658,0.227750635137776,0.72949,0.1139519182786861,0.4462,0.2275753019947725,0.3782120600178055,0.72342,0.2261866322247336,NDCG@10,0.1944557028579658,1
sports,valid,main_control,weight_grid_label,"0.33,0.33,0.34",full,full,1.0,0.7,0.33,0.33,0.34,"0.33,0.33,0.34",10000,101,1010000,20260607,1010000,1010000,1.0,0,0,0,0,0,True,10000,43,0.0043,0.02,7.0156,1,27169189,50500000,0.5380037425742574,0.7,True,10000,1.0,0.0,-1.0,101.0,0.2001488792674358,0.0,0.2672,0.1922417335508407,0.1251992269776127,0.74078,0.0567117738573986,0.3642,0.2235045104149607,0.2145614835081319,0.73591,0.110605571374057,0.4923,0.2558080502446852,0.3640370877032984,0.72855,0.2188187982505063,NDCG@10,0.2235045104149607,1
